Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
10600118,0,3520,-2.15818516247701,-14928,-9.15266707541386,-5184,3.17841814837523,-1,2.4390243902439,-40,0.0609756097560976,-21,1.28048780487805,-46,0.2,36,0.156521739130435,123,-0.6,
10600758,19.53125,3552,-2.17780502759044,-14880,-9.12323727774372,-5216,3.19803801348866,8,2.74390243902439,-45,-0.487804878048781,-24,1.46341463414634,-50,0.217391304347826,41,0.178260869565217,122,-0.595121951219512,
10601398,39.0625,3552,-2.17780502759044,-14944,-9.16247700797057,-5264,3.2274678111588,11,2.68292682926829,-44,-0.670731707317073,-24,1.46341463414634,-50,0.217391304347826,34,0.147826086956522,124,-0.604878048780488,
10602038,58.59375,3472,-2.12875536480687,-14928,-9.15266707541386,-5216,3.19803801348866,9,2.68292682926829,-44,-0.548780487804878,-20,1.21951219512195,-48,0.208695652173913,36,0.156521739130435,123,-0.6,
10602678,78.125,3552,-2.17780502759044,-14976,-9.182096873084,-5232,3.20784794604537,9,2.74390243902439,-45,-0.548780487804878,-16,0.975609756097561,-47,0.204347826086957,35,0.152173913043478,123,-0.6,
10603318,97.65625,3424,-2.09932556713673,-14944,-9.16247700797057,-5248,3.21765787860208,16,2.25609756097561,-37,-0.975609756097561,-10,0.609756097560976,-47,0.204347826086957,34,0.147826086956522,124,-0.604878048780488,
10603958,117.1875,3536,-2.16799509503372,-14832,-9.09380748007357,-5296,3.24708767627223,24,2.4390243902439,-40,-1.46341463414634,-5,0.304878048780488,-48,0.208695652173913,40,0.173913043478261,124,-0.604878048780488,
