Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,64584.109000,157.124,274.213,-328.154,-267.943,-96.840,-367.796,-2968.500,-218.240,1550.780
1,64584.141000,131.671,306.593,-345.946,-301.872,-86.896,-334.721,-2682.500,-771.240,1709.780
2,64584.166000,90.554,294.451,-320.247,-317.778,-87.736,-319.672,-2417.500,-830.240,1895.780
3,64584.182000,72.933,280.285,-308.386,-344.841,-72.045,-290.662,-2226.500,-713.240,1945.780
4,64584.203000,43.564,291.415,-349.900,-363.659,-68.017,-279.505,-1909.500,-785.240,1945.780
5,64584.218000,-4.405,286.356,-364.726,-374.892,-56.331,-258.646,-1662.500,-946.240,1913.780
6,64584.247000,-58.249,259.036,-353.853,-383.917,-49.488,-249.634,-1179.500,-801.240,1760.780
7,64584.264000,-93.491,232.727,-357.807,-395.030,-35.859,-236.656,-761.500,-487.240,1441.780
8,64584.287000,-123.839,225.644,-383.506,-398.036,-28.093,-236.612,-292.500,-308.240,967.780
9,64584.305000,-151.250,216.538,-384.494,-396.045,-28.109,-238.616,193.500,-135.240,407.780
10,64584.321000,-158.103,208.443,-368.680,-390.026,-29.122,-246.597,618.500,107.760,-192.220
11,64584.342000,-139.503,204.395,-351.876,-385.021,-30.128,-252.591,961.500,278.760,-797.220
12,64584.364000,-107.197,215.526,-343.969,-374.896,-42.780,-265.553,1241.500,317.760,-1355.220
13,64584.387000,-69.996,232.727,-335.073,-362.840,-52.549,-278.553,1370.500,302.760,-1832.220
14,64584.419000,-34.753,249.929,-334.085,-341.785,-70.129,-298.594,1598.500,341.760,-2009.220
15,64584.448000,8.321,261.059,-333.097,-315.716,-91.619,-323.641,1820.500,419.760,-2271.220
16,64584.457000,59.228,269.154,-335.073,-303.765,-97.521,-332.706,2037.500,354.760,-2414.220
17,64584.470000,98.386,272.190,-341.004,-270.821,-118.104,-359.845,2279.500,188.760,-2433.220
18,64584.496000,132.650,262.071,-341.992,-247.993,-128.938,-373.034,2510.500,-52.240,-2350.220
19,64584.511000,155.166,244.870,-330.131,-198.572,-143.873,-394.565,2692.500,-238.240,-2204.220
20,64584.533000,165.935,227.668,-316.293,-171.916,-156.683,-401.912,2813.500,-340.240,-2036.220
21,64584.546000,176.704,209.455,-296.525,-122.607,-168.721,-418.522,2864.500,-458.240,-1881.220
22,64584.568000,179.641,198.324,-281.699,-97.061,-176.689,-420.933,2901.500,-544.240,-1817.220
23,64584.591000,165.935,182.134,-259.954,-41.967,-192.657,-430.750,2962.500,-637.240,-1680.220
24,64584.613000,158.103,154.814,-244.139,16.772,-205.772,-426.851,2958.500,-659.240,-1575.220
25,64584.635000,148.314,132.553,-232.278,51.045,-208.986,-427.454,2967.500,-722.240,-1537.220
26,64584.658000,114.050,95.115,-192.741,106.691,-214.340,-418.588,2946.500,-688.240,-1526.220
27,64584.678000,105.239,81.960,-174.950,128.150,-220.347,-412.069,2859.500,-546.240,-1536.220
28,64584.706000,97.407,68.806,-160.124,181.638,-218.919,-395.297,2788.500,-422.240,-1515.220
29,64584.706000,117.966,38.451,-138.378,212.767,-216.310,-386.991,2673.500,-414.240,-1485.220
30,64584.735000,125.797,21.249,-133.436,263.207,-215.830,-363.272,2538.500,-745.240,-1494.220
31,64584.752000,98.386,3.036,-118.610,308.669,-215.310,-334.544,2476.500,-929.240,-1500.220
32,64584.774000,78.807,-17.202,-103.784,329.893,-218.426,-316.211,2359.500,-1072.240,-1525.220
33,64584.798000,91.533,-45.534,-84.015,368.495,-211.069,-290.322,2189.500,-859.240,-1524.220
34,64584.816000,110.134,-65.771,-79.073,385.768,-204.473,-274.884,1998.500,-682.240,-1499.220
